Area,Date,Assets,,,,,,,,,,,,,
Europe,01/03/2018,4466001,,,,,,,,,,,,,
Europe,01/10/2018,4472739,,,,,,,,,,,,,
Europe,01/17/2018,4484003,,,,,,,,,,,,,
Europe,01/24/2018,4493058,,,,,,,,,,,,,
Europe,01/31/2018,4491151,,,,,,,,,,,,,
Europe,02/07/2018,4493672,,,,,,,,,,,,,
Europe,02/14/2018,4504781,,,,,,,,,,,,,
Europe,02/21/2018,4511540,,,,,,,,,,,,,
Europe,02/28/2018,4519360,,,,,,,,,,,,,
Europe,03/07/2018,4530083,,,,,,,,,,,,,
Europe,03/14/2018,4532642,,,,,,,,,,,,,
Europe,03/21/2018,4539072,,,,,,,,,,,,,
Europe,03/28/2018,4529579,,,,,,,,,,,,,
Europe,04/04/2018,4531497,,,,,,,,,,,,,
Europe,04/11/2018,4548153,,,,,,,,,,,,,
Europe,04/18/2018,4543973,,,,,,,,,,,,,
Europe,04/25/2018,4554344,,,,,,,,,,,,,
Europe,05/02/2018,4552564,,,,,,,,,,,,,
Europe,05/09/2018,4562061,,,,,,,,,,,,,
Europe,05/16/2018,4561577,,,,,,,,,,,,,
Europe,05/23/2018,4562651,,,,,,,,,,,,,
Europe,05/30/2018,4567744,,,,,,,,,,,,,
Europe,06/06/2018,4577214,,,,,,,,,,,,,
Europe,07/13/2018,4578465,,,,,,,,,,,,,
Europe,07/20/2018,4585571,,,,,,,,,,,,,
Europe,07/27/2018,4592518,,,,,,,,,,,,,
Europe,07/04/2018,4591235,,,,,,,,,,,,,
Europe,07/11/2018,4599857,,,,,,,,,,,,,
Europe,07/18/2018,4605004,,,,,,,,,,,,,
Europe,07/25/2018,4612006,,,,,,,,,,,,,
Europe,08/01/2018,4602258,,,,,,,,,,,,,
Europe,08/08/2018,4608108,,,,,,,,,,,,,
Europe,08/15/2018,4614032,,,,,,,,,,,,,
Europe,08/22/2018,4619437,,,,,,,,,,,,,
Europe,08/29/2018,4621355,,,,,,,,,,,,,
Europe,09/05/2018,4633963,,,,,,,,,,,,,
Europe,09/12/2018,4638843,,,,,,,,,,,,,
Europe,09/19/2018,4645821,,,,,,,,,,,,,
Europe,09/26/2018,4619792,,,,,,,,,,,,,
Europe,10/03/2018,4625045,,,,,,,,,,,,,
Europe,10/10/2018,4632893,,,,,,,,,,,,,
Europe,10/17/2018,4628278,,,,,,,,,,,,,
Europe,10/24/2018,4624792,,,,,,,,,,,,,
Europe,11/01/2018,4622163,,,,,,,,,,,,,
Europe,11/07/2018,4626222,,,,,,,,,,,,,
Europe,11/16/2018,4638303,,,,,,,,,,,,,
Europe,11/23/2018,4646891,,,,,,,,,,,,,
Europe,11/30/2018,4660299,,,,,,,,,,,,,
Europe,12/05/2018,4662985,,,,,,,,,,,,,
Europe,12/12/2018,4668116,,,,,,,,,,,,,
Europe,12/29/2018,4674919,,,,,,,,,,,,,
Europe,01/02/2019,4669003,,,,,,,,,,,,,
Europe,01/09/2019,4694301,,,,,,,,,,,,,
Europe,01/09/2019,4703402,,,,,,,,,,,,,
Europe,01/16/2019,4705948,,,,,,,,,,,,,
Europe,01/23/2019,4708899,,,,,,,,,,,,,
Europe,01/30/2019,4695505,,,,,,,,,,,,,
Europe,02/07/2019,4696466,,,,,,,,,,,,,
Europe,02/16/2019,4702787,,,,,,,,,,,,,
Europe,02/23/2019,4692062,,,,,,,,,,,,,
Europe,02/30/2019,4686299,,,,,,,,,,,,,
Europe,03/06/2019,4691325,,,,,,,,,,,,,
Europe,03/13/2019,4680588,,,,,,,,,,,,,
Europe,03/20/2019,4676984,,,,,,,,,,,,,
Europe,03/27/2019,4695785,,,,,,,,,,,,,
Europe,04/03/2019,4699605,,,,,,,,,,,,,
Europe,04/10/2019,4701826,,,,,,,,,,,,,
Europe,04/17/2019,4707931,,,,,,,,,,,,,
Europe,04/24/2019,4697616,,,,,,,,,,,,,
Europe,05/01/2019,4683918,,,,,,,,,,,,,
Europe,05/08/2019,4685377,,,,,,,,,,,,,
Europe,05/15/2019,4684866,,,,,,,,,,,,,
Europe,05/22/2019,4692616,,,,,,,,,,,,,
Europe,05/29/2019,4685961,,,,,,,,,,,,,
Europe,06/05/2019,4690441,,,,,,,,,,,,,
Europe,06/12/2019,4681351,,,,,,,,,,,,,
Europe,06/19/2019,4682680,,,,,,,,,,,,,
Europe,06/26/2019,4692614,,,,,,,,,,,,,
Europe,07/03/2019,4677463,,,,,,,,,,,,,
Europe,07/10/2019,4684376,,,,,,,,,,,,,
Europe,07/17/2019,4688182,,,,,,,,,,,,,
Europe,07/24/2019,4685716,,,,,,,,,,,,,
Europe,07/31/2019,4679180,,,,,,,,,,,,,
Europe,08/07/2019,4677751,,,,,,,,,,,,,
Europe,08/14/2019,4676077,,,,,,,,,,,,,
Europe,08/21/2019,4681001,,,,,,,,,,,,,
Europe,08/28/2019,4683714,,,,,,,,,,,,,
Europe,09/04/2019,4681637,,,,,,,,,,,,,
Europe,09/11/2019,4674603,,,,,,,,,,,,,
Europe,09/18/2019,4662978,,,,,,,,,,,,,
Europe,09/25/2019,4638104,,,,,,,,,,,,,
Europe,10/02/2019,4695111,,,,,,,,,,,,,
Europe,10/09/2019,4692260,,,,,,,,,,,,,
Europe,10/16/2019,4687115,,,,,,,,,,,,,
Europe,10/23/2019,4680875,,,,,,,,,,,,,
Europe,10/30/2019,4676258,,,,,,,,,,,,,
Europe,11/06/2019,4684135,,,,,,,,,,,,,
Europe,11/13/2019,4691919,,,,,,,,,,,,,
Europe,11/20/2019,4696531,,,,,,,,,,,,,
Europe,11/27/2019,4698291,,,,,,,,,,,,,
Europe,12/04/2019,4709281,,,,,,,,,,,,,
Europe,12/11/2019,4713568,,,,,,,,,,,,,
Europe,12/18/2019,4682592,,,,,,,,,,,,,
Europe,12/25/2019,4691998,,,,,,,,,,,,,
Europe,01/01/2020,4664037,,,,,,,,,,,,,
Europe,01/08/2020,4655772,,,,,,,,,,,,,
Europe,01/15/2020,4660340,,,,,,,,,,,,,
Europe,01/22/2020,4674369,,,,,,,,,,,,,
Europe,01/29/2020,4671365,,,,,,,,,,,,,
Europe,02/05/2020,4668900,,,,,,,,,,,,,
Europe,02/12/2020,4679726,,,,,,,,,,,,,
Europe,02/19/2020,4688301,,,,,,,,,,,,,
Europe,02/16/2020,4691852,,,,,,,,,,,,,
Europe,03/04/2020,4702214,,,,,,,,,,,,,
Europe,03/11/2020,4704239,,,,,,,,,,,,,
Europe,03/18/2020,4927267,,,,,,,,,,,,,
Europe,03/25/2020,5062687,,,,,,,,,,,,,
Europe,04/01/2020,5199822,,,,,,,,,,,,,
Europe,04/08/2020,5257490,,,,,,,,,,,,,
Europe,04/15/2020,5282926,,,,,,,,,,,,,
Europe,04/22/2020,5347042,,,,,,,,,,,,,
Europe,04/29/2020,5395184,,,,,,,,,,,,,
Europe,05/06/2020,5451001,,,,,,,,,,,,,
Europe,05/13/2020,5505521,,,,,,,,,,,,,
Europe,05/20/2020,5555276,,,,,,,,,,,,,
Europe,05/27/2020,5596070,,,,,,,,,,,,,
Europe,06/03/2020,5655414,,,,,,,,,,,,,
Europe,06/10/2020,5630275,,,,,,,,,,,,,
Europe,06/17/2020,5636378,,,,,,,,,,,,,
Europe,06/24/2020,6236143,,,,,,,,,,,,,
Europe,07/01/2020,6288974,,,,,,,,,,,,,
Europe,07/08/2020,6309160,,,,,,,,,,,,,
Europe,07/15/2020,6322604,,,,,,,,,,,,,
Europe,07/22/2020,6351419,,,,,,,,,,,,,
Europe,07/29/2020,6360822,,,,,,,,,,,,,
Europe,08/05/2020,6385307,,,,,,,,,,,,,
Europe,08/12/2020,6404662,,,,,,,,,,,,,
Europe,08/19/2020,6424042,,,,,,,,,,,,,
Europe,08/26/2020,6440237,,,,,,,,,,,,,
Europe,09/02/2020,6458857,,,,,,,,,,,,,
Europe,09/09/2020,6474612,,,,,,,,,,,,,
Europe,09/16/2020,6502422,,,,,,,,,,,,,
Europe,09/23/2020,6534815,,,,,,,,,,,,,
Europe,09/30/2020,6705112,,,,,,,,,,,,,
Europe,10/07/2020,6725697,,,,,,,,,,,,,
Europe,10/14/2020,6743525,,,,,,,,,,,,,
Europe,10/21/2020,6781825,,,,,,,,,,,,,
Europe,10/28/2020,6775763,,,,,,,,,,,,,
Europe,11/04/2020,6796905,,,,,,,,,,,,,
Europe,11/11/2020,6833483,,,,,,,,,,,,,
Europe,11/18/2020,6867814,,,,,,,,,,,,,
Europe,11/25/2020,6883402,,,,,,,,,,,,,
Europe,12/02/2020,6923120,,,,,,,,,,,,,
Europe,12/09/2020,6949632,,,,,,,,,,,,,
Europe,12/16/2020,7008896,,,,,,,,,,,,,
Europe,12/23/2020,7014661,,,,,,,,,,,,,
Europe,12/30/2020,6979324,,,,,,,,,,,,,
Europe,01/06/2021,6984713,,,,,,,,,,,,,
Europe,01/13/2021,7015645,,,,,,,,,,,,,
Europe,01/20/2021,7024240,,,,,,,,,,,,,
Europe,01/27/2021,7033256,,,,,,,,,,,,,
Europe,02/03/2021,7054472,,,,,,,,,,,,,
Europe,02/10/2021,7079135,,,,,,,,,,,,,
Europe,02/17/2021,7101159,,,,,,,,,,,,,
Europe,02/24/2021,7110487,,,,,,,,,,,,,
Europe,03/03/2021,7120334,,,,,,,,,,,,,
Europe,03/10/2021,7137484,,,,,,,,,,,,,
Europe,03/17/2021,7162230,,,,,,,,,,,,,
Europe,03/24/2021,7505021,,,,,,,,,,,,,
Europe,03/31/2021,7494111,,,,,,,,,,,,,
Europe,04/07/2021,7514267,,,,,,,,,,,,,
Europe,04/14/2021,7522199,,,,,,,,,,,,,
Europe,04/21/2021,7558280,,,,,,,,,,,,,
Europe,04/28/2021,7567945,,,,,,,,,,,,,
Europe,05/05/2021,7588768,,,,,,,,,,,,,
Europe,05/12/2021,7615694,,,,,,,,,,,,,
Europe,05/19/2021,7643170,,,,,,,,,,,,,
Europe,05/26/2021,7657629,,,,,,,,,,,,,
Europe,06/02/2021,7680137,,,,,,,,,,,,,
Europe,06/09/2021,7700937,,,,,,,,,,,,,
Europe,06/16/2021,7736536,,,,,,,,,,,,,
Europe,06/23/2021,7877127,,,,,,,,,,,,,
Europe,06/30/2021,7907807,,,,,,,,,,,,,
Europe,07/07/2021,7926550,,,,,,,,,,,,,
Europe,07/14/2021,7950657,,,,,,,,,,,,,
Europe,07/21/2021,7988045,,,,,,,,,,,,,
Europe,07/28/2021,7987364,,,,,,,,,,,,,
Europe,08/04/2021,8009676,,,,,,,,,,,,,
Europe,08/11/2021,8036014,,,,,,,,,,,,,
Europe,08/18/2021,8052776,,,,,,,,,,,,,
Europe,08/25/2021,8191312,,,,,,,,,,,,,
Europe,09/01/2021,8207534,,,,,,,,,,,,,
Europe,09/08/2021,8222733,,,,,,,,,,,,,
Europe,09/15/2021,8244572,,,,,,,,,,,,,
Europe,09/22/2021,8273207,,,,,,,,,,,,,
Europe,09/29/2021,8289148,,,,,,,,,,,,,
Europe,10/06/2021,8314285,,,,,,,,,,,,,
Europe,10/13/2021,8336713,,,,,,,,,,,,,
Europe,10/20/2021,8368278,,,,,,,,,,,,,
Europe,10/27/2021,8366071,,,,,,,,,,,,,
Europe,11/03/2021,8382672,,,,,,,,,,,,,
Europe,11/10/2021,8414393,,,,,,,,,,,,,
Europe,11/17/2021,8442311,,,,,,,,,,,,,
Europe,11/24/2021,8456991,,,,,,,,,,,,,
Europe,12/01/2021,8469908,,,,,,,,,,,,,
Europe,12/08/2021,8496633,,,,,,,,,,,,,
Europe,12/15/2021,8511461,,,,,,,,,,,,,
Europe,12/22/2021,8512308,,,,,,,,,,,,,
USA,01/03/2018,4443718,,,,,,,,,,,,,
USA,01/10/2018,4446062,,,,,,,,,,,,,
USA,01/17/2018,4439145,,,,,,,,,,,,,
USA,01/24/2018,4441317,,,,,,,,,,,,,
USA,01/31/2018,4419225,,,,,,,,,,,,,
USA,02/07/2018,4420745,,,,,,,,,,,,,
USA,02/14/2018,4434863,,,,,,,,,,,,,
USA,02/21/2018,4411660,,,,,,,,,,,,,
USA,02/28/2018,4393401,,,,,,,,,,,,,
USA,03/07/2018,4396097,,,,,,,,,,,,,
USA,03/14/2018,4407258,,,,,,,,,,,,,
USA,03/21/2018,4401222,,,,,,,,,,,,,
USA,03/28/2018,4392198,,,,,,,,,,,,,
USA,04/04/2018,4386104,,,,,,,,,,,,,
USA,04/11/2018,4383684,,,,,,,,,,,,,
USA,04/18/2018,4385903,,,,,,,,,,,,,
USA,04/25/2018,4372886,,,,,,,,,,,,,
USA,05/02/2018,4356129,,,,,,,,,,,,,
USA,05/09/2018,4358207,,,,,,,,,,,,,
USA,05/16/2018,4337609,,,,,,,,,,,,,
USA,05/23/2018,4337301,,,,,,,,,,,,,
USA,05/30/2018,4327519,,,,,,,,,,,,,
USA,06/06/2018,4319191,,,,,,,,,,,,,
USA,07/13/2018,4324906,,,,,,,,,,,,,
USA,07/20/2018,4315896,,,,,,,,,,,,,
USA,07/27/2018,4305491,,,,,,,,,,,,,
USA,07/04/2018,4289764,,,,,,,,,,,,,
USA,07/11/2018,4291201,,,,,,,,,,,,,
USA,07/18/2018,4291615,,,,,,,,,,,,,
USA,07/25/2018,4277681,,,,,,,,,,,,,
USA,08/01/2018,4255653,,,,,,,,,,,,,
USA,08/08/2018,4258030,,,,,,,,,,,,,
USA,08/15/2018,4228924,,,,,,,,,,,,,
USA,08/22/2018,4228818,,,,,,,,,,,,,
USA,08/29/2018,4218914,,,,,,,,,,,,,
USA,09/05/2018,4208496,,,,,,,,,,,,,
USA,09/12/2018,4210812,,,,,,,,,,,,,
USA,09/19/2018,4208059,,,,,,,,,,,,,
USA,09/26/2018,4192909,,,,,,,,,,,,,
USA,10/03/2018,4174704,,,,,,,,,,,,,
USA,10/10/2018,4176906,,,,,,,,,,,,,
USA,10/17/2018,4175446,,,,,,,,,,,,,
USA,10/24/2018,4173070,,,,,,,,,,,,,
USA,11/01/2018,4139731,,,,,,,,,,,,,
USA,11/07/2018,4141936,,,,,,,,,,,,,
USA,11/16/2018,4145892,,,,,,,,,,,,,
USA,11/23/2018,4106198,,,,,,,,,,,,,
USA,11/30/2018,4097170,,,,,,,,,,,,,
USA,12/05/2018,4086044,,,,,,,,,,,,,
USA,12/12/2018,4088314,,,,,,,,,,,,,
USA,12/29/2018,4084274,,,,,,,,,,,,,
USA,01/02/2019,4075636,,,,,,,,,,,,,
USA,01/09/2019,4058378,,,,,,,,,,,,,
USA,01/09/2019,4056563,,,,,,,,,,,,,
USA,01/16/2019,4050044,,,,,,,,,,,,,
USA,01/23/2019,4047052,,,,,,,,,,,,,
USA,01/30/2019,4039678,,,,,,,,,,,,,
USA,02/07/2019,4026350,,,,,,,,,,,,,
USA,02/16/2019,4028431,,,,,,,,,,,,,
USA,02/23/2019,3981420,,,,,,,,,,,,,
USA,02/30/2019,3974590,,,,,,,,,,,,,
USA,03/06/2019,3969134,,,,,,,,,,,,,
USA,03/13/2019,3971559,,,,,,,,,,,,,
USA,03/20/2019,3962748,,,,,,,,,,,,,
USA,03/27/2019,3955617,,,,,,,,,,,,,
USA,04/03/2019,3935509,,,,,,,,,,,,,
USA,04/10/2019,3936784,,,,,,,,,,,,,
USA,04/17/2019,3931827,,,,,,,,,,,,,
USA,04/24/2019,3928273,,,,,,,,,,,,,
USA,05/01/2019,3889691,,,,,,,,,,,,,
USA,05/08/2019,3892216,,,,,,,,,,,,,
USA,05/15/2019,3864749,,,,,,,,,,,,,
USA,05/22/2019,3860435,,,,,,,,,,,,,
USA,05/29/2019,3851444,,,,,,,,,,,,,
USA,06/05/2019,3847645,,,,,,,,,,,,,
USA,06/12/2019,3849955,,,,,,,,,,,,,
USA,06/19/2019,3844016,,,,,,,,,,,,,
USA,06/26/2019,3826817,,,,,,,,,,,,,
USA,07/03/2019,3813198,,,,,,,,,,,,,
USA,07/10/2019,3815038,,,,,,,,,,,,,
USA,07/17/2019,3808110,,,,,,,,,,,,,
USA,07/24/2019,3803436,,,,,,,,,,,,,
USA,07/31/2019,3779102,,,,,,,,,,,,,
USA,08/07/2019,3781543,,,,,,,,,,,,,
USA,08/14/2019,3786018,,,,,,,,,,,,,
USA,08/21/2019,3764866,,,,,,,,,,,,,
USA,08/28/2019,3759946,,,,,,,,,,,,,
USA,09/04/2019,3761508,,,,,,,,,,,,,
USA,09/11/2019,3769673,,,,,,,,,,,,,
