Area,Date,Assets,,,,,,,,,,,,,
USA,09/18/2019,3844695,,,,,,,,,,,,,
USA,09/25/2019,3857715,,,,,,,,,,,,,
USA,10/02/2019,3945831,,,,,,,,,,,,,
USA,10/09/2019,3949955,,,,,,,,,,,,,
USA,10/16/2019,3966471,,,,,,,,,,,,,
USA,10/23/2019,3968700,,,,,,,,,,,,,
USA,10/30/2019,4019823,,,,,,,,,,,,,
USA,11/06/2019,4039443,,,,,,,,,,,,,
USA,11/13/2019,4047882,,,,,,,,,,,,,
USA,11/20/2019,4030249,,,,,,,,,,,,,
USA,11/27/2019,4052875,,,,,,,,,,,,,
USA,12/04/2019,4065696,,,,,,,,,,,,,
USA,12/11/2019,4095491,,,,,,,,,,,,,
USA,12/18/2019,4137052,,,,,,,,,,,,,
USA,12/25/2019,4165591,,,,,,,,,,,,,
USA,01/01/2020,4173626,,,,,,,,,,,,,
USA,01/08/2020,4149544,,,,,,,,,,,,,
USA,01/15/2020,4175850,,,,,,,,,,,,,
USA,01/22/2020,4145912,,,,,,,,,,,,,
USA,01/29/2020,4151630,,,,,,,,,,,,,
USA,02/05/2020,4166707,,,,,,,,,,,,,
USA,02/12/2020,4182689,,,,,,,,,,,,,
USA,02/19/2020,4171570,,,,,,,,,,,,,
USA,02/16/2020,4158637,,,,,,,,,,,,,
USA,03/04/2020,4241507,,,,,,,,,,,,,
USA,03/11/2020,4311911,,,,,,,,,,,,,
USA,03/18/2020,4668212,,,,,,,,,,,,,
USA,03/25/2020,5254278,,,,,,,,,,,,,
USA,04/01/2020,5811607,,,,,,,,,,,,,
USA,04/08/2020,6083141,,,,,,,,,,,,,
USA,04/15/2020,6367887,,,,,,,,,,,,,
USA,04/22/2020,6573136,,,,,,,,,,,,,
USA,04/29/2020,6655929,,,,,,,,,,,,,
USA,05/06/2020,6721420,,,,,,,,,,,,,
USA,05/13/2020,6934227,,,,,,,,,,,,,
USA,05/20/2020,7037258,,,,,,,,,,,,,
USA,05/27/2020,7097316,,,,,,,,,,,,,
USA,06/03/2020,7165217,,,,,,,,,,,,,
USA,06/10/2020,7168936,,,,,,,,,,,,,
USA,06/17/2020,7094690,,,,,,,,,,,,,
USA,06/24/2020,7082302,,,,,,,,,,,,,
USA,07/01/2020,7009040,,,,,,,,,,,,,
USA,07/08/2020,6920716,,,,,,,,,,,,,
USA,07/15/2020,6958604,,,,,,,,,,,,,
USA,07/22/2020,6964755,,,,,,,,,,,,,
USA,07/29/2020,6949032,,,,,,,,,,,,,
USA,08/05/2020,6945237,,,,,,,,,,,,,
USA,08/12/2020,6957277,,,,,,,,,,,,,
USA,08/19/2020,7010637,,,,,,,,,,,,,
USA,08/26/2020,6990418,,,,,,,,,,,,,
USA,09/02/2020,7017492,,,,,,,,,,,,,
USA,09/09/2020,7010614,,,,,,,,,,,,,
USA,09/16/2020,7064475,,,,,,,,,,,,,
USA,09/23/2020,7093161,,,,,,,,,,,,,
USA,09/30/2020,7056129,,,,,,,,,,,,,
USA,10/07/2020,7074649,,,,,,,,,,,,,
USA,10/14/2020,7151426,,,,,,,,,,,,,
USA,10/21/2020,7177265,,,,,,,,,,,,,
USA,10/28/2020,7146306,,,,,,,,,,,,,
USA,11/04/2020,7157479,,,,,,,,,,,,,
USA,11/11/2020,7175417,,,,,,,,,,,,,
USA,11/18/2020,7243080,,,,,,,,,,,,,
USA,11/25/2020,7216480,,,,,,,,,,,,,
USA,12/02/2020,7222414,,,,,,,,,,,,,
USA,12/09/2020,7242658,,,,,,,,,,,,,
USA,12/16/2020,7362592,,,,,,,,,,,,,
USA,12/23/2020,7404039,,,,,,,,,,,,,
USA,12/30/2020,7363351,,,,,,,,,,,,,
USA,01/06/2021,7334809,,,,,,,,,,,,,
USA,01/13/2021,7333968,,,,,,,,,,,,,
USA,01/20/2021,7414942,,,,,,,,,,,,,
USA,01/27/2021,7404926,,,,,,,,,,,,,
USA,02/03/2021,7410598,,,,,,,,,,,,,
USA,02/10/2021,7442225,,,,,,,,,,,,,
USA,02/17/2021,7557402,,,,,,,,,,,,,
USA,02/24/2021,7590111,,,,,,,,,,,,,
USA,03/03/2021,7557524,,,,,,,,,,,,,
USA,03/10/2021,7579901,,,,,,,,,,,,,
USA,03/17/2021,7693506,,,,,,,,,,,,,
USA,03/24/2021,7719622,,,,,,,,,,,,,
USA,03/31/2021,7688988,,,,,,,,,,,,,
USA,04/07/2021,7708882,,,,,,,,,,,,,
USA,04/14/2021,7793104,,,,,,,,,,,,,
USA,04/21/2021,7820948,,,,,,,,,,,,,
USA,04/28/2021,7780962,,,,,,,,,,,,,
USA,05/05/2021,7810486,,,,,,,,,,,,,
USA,05/12/2021,7830663,,,,,,,,,,,,,
USA,05/19/2021,7922883,,,,,,,,,,,,,
USA,05/26/2021,7903541,,,,,,,,,,,,,
USA,06/02/2021,7935703,,,,,,,,,,,,,
USA,06/09/2021,7952327,,,,,,,,,,,,,
USA,06/16/2021,8064257,,,,,,,,,,,,,
USA,06/23/2021,8101945,,,,,,,,,,,,,
USA,06/30/2021,8078544,,,,,,,,,,,,,
USA,07/07/2021,8097773,,,,,,,,,,,,,
USA,07/14/2021,8201651,,,,,,,,,,,,,
USA,07/21/2021,8240530,,,,,,,,,,,,,
USA,07/28/2021,8221473,,,,,,,,,,,,,
USA,08/04/2021,8235073,,,,,,,,,,,,,
USA,08/11/2021,8257159,,,,,,,,,,,,,
USA,08/18/2021,8342598,,,,,,,,,,,,,
USA,08/25/2021,8332743,,,,,,,,,,,,,
USA,09/01/2021,8349173,,,,,,,,,,,,,
USA,09/08/2021,8357314,,,,,,,,,,,,,
USA,09/15/2021,8448770,,,,,,,,,,,,,
USA,09/22/2021,8489824,,,,,,,,,,,,,
USA,09/29/2021,8447981,,,,,,,,,,,,,
USA,10/06/2021,8464032,,,,,,,,,,,,,
USA,10/13/2021,8480942,,,,,,,,,,,,,
USA,10/20/2021,8564943,,,,,,,,,,,,,
USA,10/27/2021,8556181,,,,,,,,,,,,,
USA,11/03/2021,8574871,,,,,,,,,,,,,
USA,11/10/2021,8663117,,,,,,,,,,,,,
USA,11/17/2021,8674970,,,,,,,,,,,,,
USA,11/24/2021,8681771,,,,,,,,,,,,,
USA,12/01/2021,8650402,,,,,,,,,,,,,
USA,12/08/2021,8664524,,,,,,,,,,,,,
USA,12/15/2021,8756666,,,,,,,,,,,,,
USA,12/22/2021,8790495,,,,,,,,,,,,,
UK,01/03/2018,465536,,,,,,,,,,,,,
UK,01/10/2018,467473,,,,,,,,,,,,,
UK,01/17/2018,469351,,,,,,,,,,,,,
UK,01/24/2018,471629,,,,,,,,,,,,,
UK,01/31/2018,472128,,,,,,,,,,,,,
UK,02/07/2018,473964,,,,,,,,,,,,,
UK,02/14/2018,478462,,,,,,,,,,,,,
UK,02/21/2018,480877,,,,,,,,,,,,,
UK,02/28/2018,492226,,,,,,,,,,,,,
UK,03/07/2018,473603,,,,,,,,,,,,,
UK,03/14/2018,474943,,,,,,,,,,,,,
UK,03/21/2018,478595,,,,,,,,,,,,,
UK,03/28/2018,481950,,,,,,,,,,,,,
UK,04/04/2018,483981,,,,,,,,,,,,,
UK,04/11/2018,491192,,,,,,,,,,,,,
UK,04/18/2018,496425,,,,,,,,,,,,,
UK,04/25/2018,496302,,,,,,,,,,,,,
UK,05/02/2018,495298,,,,,,,,,,,,,
UK,05/09/2018,495869,,,,,,,,,,,,,
UK,05/16/2018,494283,,,,,,,,,,,,,
UK,05/23/2018,488391,,,,,,,,,,,,,
UK,05/30/2018,493354,,,,,,,,,,,,,
UK,06/06/2018,491577,,,,,,,,,,,,,
UK,07/13/2018,487703,,,,,,,,,,,,,
UK,07/20/2018,488221,,,,,,,,,,,,,
UK,07/27/2018,488323,,,,,,,,,,,,,
UK,07/04/2018,487918,,,,,,,,,,,,,
UK,07/11/2018,490315,,,,,,,,,,,,,
UK,07/18/2018,484138,,,,,,,,,,,,,
UK,07/25/2018,486890,,,,,,,,,,,,,
UK,08/01/2018,488157,,,,,,,,,,,,,
UK,08/08/2018,489566,,,,,,,,,,,,,
UK,08/15/2018,491426,,,,,,,,,,,,,
UK,08/22/2018,488556,,,,,,,,,,,,,
UK,08/29/2018,490880,,,,,,,,,,,,,
UK,09/05/2018,491073,,,,,,,,,,,,,
UK,09/12/2018,487381,,,,,,,,,,,,,
UK,09/19/2018,487671,,,,,,,,,,,,,
UK,09/26/2018,488810,,,,,,,,,,,,,
UK,10/03/2018,489126,,,,,,,,,,,,,
UK,10/10/2018,491587,,,,,,,,,,,,,
UK,10/17/2018,492930,,,,,,,,,,,,,
UK,10/24/2018,492580,,,,,,,,,,,,,
UK,11/01/2018,491033,,,,,,,,,,,,,
UK,11/07/2018,492628,,,,,,,,,,,,,
UK,11/16/2018,487888,,,,,,,,,,,,,
UK,11/23/2018,488529,,,,,,,,,,,,,
UK,11/30/2018,488938,,,,,,,,,,,,,
UK,12/05/2018,487301,,,,,,,,,,,,,
UK,12/12/2018,486572,,,,,,,,,,,,,
UK,12/29/2018,484932,,,,,,,,,,,,,
UK,01/02/2019,484262,,,,,,,,,,,,,
UK,01/09/2019,485156,,,,,,,,,,,,,
UK,01/09/2019,487445,,,,,,,,,,,,,
UK,01/16/2019,489815,,,,,,,,,,,,,
UK,01/23/2019,487910,,,,,,,,,,,,,
UK,01/30/2019,488792,,,,,,,,,,,,,
UK,02/07/2019,488315,,,,,,,,,,,,,
UK,02/16/2019,491320,,,,,,,,,,,,,
UK,02/23/2019,491212,,,,,,,,,,,,,
UK,02/30/2019,491220,,,,,,,,,,,,,
UK,03/06/2019,471255,,,,,,,,,,,,,
UK,03/13/2019,473585,,,,,,,,,,,,,
UK,03/20/2019,476641,,,,,,,,,,,,,
UK,03/27/2019,478655,,,,,,,,,,,,,
UK,04/03/2019,482697,,,,,,,,,,,,,
UK,04/10/2019,489268,,,,,,,,,,,,,
UK,04/17/2019,491067,,,,,,,,,,,,,
UK,04/24/2019,492892,,,,,,,,,,,,,
UK,05/01/2019,495534,,,,,,,,,,,,,
UK,05/08/2019,491878,,,,,,,,,,,,,
UK,05/15/2019,491822,,,,,,,,,,,,,
UK,05/22/2019,490866,,,,,,,,,,,,,
UK,05/29/2019,491997,,,,,,,,,,,,,
UK,06/05/2019,492925,,,,,,,,,,,,,
UK,06/12/2019,487661,,,,,,,,,,,,,
UK,06/19/2019,488356,,,,,,,,,,,,,
UK,06/26/2019,489961,,,,,,,,,,,,,
UK,07/03/2019,489015,,,,,,,,,,,,,
UK,07/10/2019,487373,,,,,,,,,,,,,
UK,07/17/2019,480773,,,,,,,,,,,,,
UK,07/24/2019,487025,,,,,,,,,,,,,
UK,07/31/2019,486936,,,,,,,,,,,,,
UK,08/07/2019,487676,,,,,,,,,,,,,
UK,08/14/2019,487144,,,,,,,,,,,,,
UK,08/21/2019,486850,,,,,,,,,,,,,
UK,08/28/2019,477604,,,,,,,,,,,,,
UK,09/04/2019,466583,,,,,,,,,,,,,
UK,09/11/2019,468687,,,,,,,,,,,,,
UK,09/18/2019,472920,,,,,,,,,,,,,
UK,09/25/2019,476654,,,,,,,,,,,,,
UK,10/02/2019,480443,,,,,,,,,,,,,
UK,10/09/2019,484757,,,,,,,,,,,,,
UK,10/16/2019,484528,,,,,,,,,,,,,
UK,10/23/2019,484366,,,,,,,,,,,,,
UK,10/30/2019,485886,,,,,,,,,,,,,
UK,11/06/2019,487077,,,,,,,,,,,,,
UK,11/13/2019,485724,,,,,,,,,,,,,
UK,11/20/2019,483761,,,,,,,,,,,,,
UK,11/27/2019,483356,,,,,,,,,,,,,
UK,12/04/2019,484171,,,,,,,,,,,,,
UK,12/11/2019,479192,,,,,,,,,,,,,
UK,12/18/2019,476327,,,,,,,,,,,,,
UK,12/25/2019,475579,,,,,,,,,,,,,
UK,01/01/2020,473150,,,,,,,,,,,,,
UK,01/08/2020,475642,,,,,,,,,,,,,
UK,01/15/2020,474291,,,,,,,,,,,,,
UK,01/22/2020,473473,,,,,,,,,,,,,
UK,01/29/2020,475796,,,,,,,,,,,,,
UK,02/05/2020,475770,,,,,,,,,,,,,
UK,02/12/2020,476201,,,,,,,,,,,,,
UK,02/19/2020,477016,,,,,,,,,,,,,
UK,02/16/2020,474973,,,,,,,,,,,,,
UK,03/04/2020,469040,,,,,,,,,,,,,
UK,03/11/2020,460129,,,,,,,,,,,,,
UK,03/18/2020,465635,,,,,,,,,,,,,
UK,03/25/2020,481339,,,,,,,,,,,,,
UK,04/01/2020,512834,,,,,,,,,,,,,
UK,04/08/2020,532371,,,,,,,,,,,,,
UK,04/15/2020,552079,,,,,,,,,,,,,
UK,04/22/2020,570640,,,,,,,,,,,,,
UK,04/29/2020,594210,,,,,,,,,,,,,
UK,05/06/2020,614755,,,,,,,,,,,,,
UK,05/13/2020,627404,,,,,,,,,,,,,
UK,05/20/2020,643792,,,,,,,,,,,,,
UK,05/27/2020,657680,,,,,,,,,,,,,
UK,06/03/2020,666056,,,,,,,,,,,,,
UK,06/10/2020,675541,,,,,,,,,,,,,
UK,06/17/2020,686007,,,,,,,,,,,,,
UK,06/24/2020,694623,,,,,,,,,,,,,
UK,07/01/2020,695052,,,,,,,,,,,,,
UK,07/08/2020,706027,,,,,,,,,,,,,
UK,07/15/2020,708984,,,,,,,,,,,,,
UK,07/22/2020,705387,,,,,,,,,,,,,
UK,07/29/2020,710964,,,,,,,,,,,,,
UK,08/05/2020,721079,,,,,,,,,,,,,
UK,08/12/2020,723510,,,,,,,,,,,,,
UK,08/19/2020,729045,,,,,,,,,,,,,
UK,08/26/2020,735560,,,,,,,,,,,,,
UK,09/02/2020,732945,,,,,,,,,,,,,
UK,09/09/2020,720979,,,,,,,,,,,,,
UK,09/16/2020,720704,,,,,,,,,,,,,
UK,09/23/2020,722703,,,,,,,,,,,,,
UK,09/30/2020,731618,,,,,,,,,,,,,
UK,10/07/2020,740507,,,,,,,,,,,,,
UK,10/14/2020,745080,,,,,,,,,,,,,
UK,10/21/2020,747633,,,,,,,,,,,,,
UK,10/28/2020,754166,,,,,,,,,,,,,
UK,11/04/2020,761947,,,,,,,,,,,,,
UK,11/11/2020,766661,,,,,,,,,,,,,
UK,11/18/2020,768196,,,,,,,,,,,,,
UK,11/25/2020,770091,,,,,,,,,,,,,
UK,12/02/2020,769745,,,,,,,,,,,,,
UK,12/09/2020,767734,,,,,,,,,,,,,
UK,12/16/2020,772815,,,,,,,,,,,,,
UK,12/23/2020,770976,,,,,,,,,,,,,
UK,12/30/2020,767807,,,,,,,,,,,,,
UK,01/06/2021,770506,,,,,,,,,,,,,
UK,01/13/2021,775003,,,,,,,,,,,,,
UK,01/20/2021,762656,,,,,,,,,,,,,
UK,01/27/2021,778484,,,,,,,,,,,,,
UK,02/03/2021,787616,,,,,,,,,,,,,
UK,02/10/2021,790165,,,,,,,,,,,,,
UK,02/17/2021,794321,,,,,,,,,,,,,
UK,02/24/2021,796625,,,,,,,,,,,,,
UK,03/03/2021,800586,,,,,,,,,,,,,
UK,03/10/2021,800148,,,,,,,,,,,,,
UK,03/17/2021,803668,,,,,,,,,,,,,
UK,03/24/2021,799930,,,,,,,,,,,,,
UK,03/31/2021,790041,,,,,,,,,,,,,
UK,04/07/2021,798915,,,,,,,,,,,,,
UK,04/14/2021,807331,,,,,,,,,,,,,
UK,04/21/2021,812487,,,,,,,,,,,,,
UK,04/28/2021,816480,,,,,,,,,,,,,
UK,05/05/2021,825973,,,,,,,,,,,,,
UK,05/12/2021,827491,,,,,,,,,,,,,
UK,05/19/2021,827305,,,,,,,,,,,,,
UK,05/26/2021,831499,,,,,,,,,,,,,
UK,06/02/2021,829441,,,,,,,,,,,,,
UK,06/09/2021,823889,,,,,,,,,,,,,
UK,06/16/2021,831147,,,,,,,,,,,,,
UK,06/23/2021,829727,,,,,,,,,,,,,
UK,06/30/2021,827659,,,,,,,,,,,,,
UK,07/07/2021,839382,,,,,,,,,,,,,
UK,07/14/2021,843402,,,,,,,,,,,,,
UK,07/21/2021,845644,,,,,,,,,,,,,
UK,07/28/2021,845801,,,,,,,,,,,,,
UK,08/04/2021,847781,,,,,,,,,,,,,
UK,08/11/2021,850208,,,,,,,,,,,,,
UK,08/18/2021,854771,,,,,,,,,,,,,
UK,08/25/2021,854410,,,,,,,,,,,,,
UK,09/01/2021,856787,,,,,,,,,,,,,
UK,09/08/2021,849568,,,,,,,,,,,,,
UK,09/15/2021,850975,,,,,,,,,,,,,
UK,09/22/2021,851363,,,,,,,,,,,,,
UK,09/29/2021,859539,,,,,,,,,,,,,
UK,10/06/2021,870620,,,,,,,,,,,,,
UK,10/13/2021,885043,,,,,,,,,,,,,
UK,10/20/2021,905287,,,,,,,,,,,,,
UK,10/27/2021,936391,,,,,,,,,,,,,
UK,11/03/2021,961365,,,,,,,,,,,,,
UK,11/10/2021,964762,,,,,,,,,,,,,
UK,11/17/2021,967635,,,,,,,,,,,,,
UK,11/24/2021,967271,,,,,,,,,,,,,
UK,12/01/2021,971828,,,,,,,,,,,,,
UK,12/08/2021,973535,,,,,,,,,,,,,
UK,12/15/2021,972517,,,,,,,,,,,,,
UK,12/22/2021,969749,,,,,,,,,,,,,